Age,Months as a Customer,Number of Products,RFM Score,Average Balance Feed Index,Number of Transactions,Personal Debt to Equity Ratio,Months Current Account,Number of Loan Accounts,Customer ID,Has Bad Payment Record,Members Within Household,Number of Call Center Contacts,Gender,Marital Status,Age Youngest Child,Number of Workers in Household,Percentage White Collar Workers,Household Debt to Equity Ratio,Income,Weeks Since Last Offer,Homeowner,Accepted Personal Loan,Accepted Retention,Accepted Home Equity Loan,Accepted Credit Card,Annual value,Interested in Personal Loan,Interested in Retention,Interested in Home Equity Loan,Interested in Credit Card
65,12.000000,0,0.000000,0,0,65,10,0,23001,0,6,11,"M","M",40,18,50,31,69423.000000,19,"F","F","F","F","F",0,"F","F","F","F"
55,12.000000,2,8.149990,150,1,55,6,0,23340,0,7,10,"F","M",24,7,36,56,53038.000000,18,"F","F","T","F","T",60,"F","F","T","F"
39,24.000000,0,0.000000,0,0,39,14,0,23220,0,1,9,"F","S",11,6,37,56,37073.000000,44,"T","F","F","F","F",0,"F","F","T","F"
52,24.000000,0,0.000000,0,0,52,17,0,23774,0,4,8,"F","U",20,11,37,50,41325.000000,29,"T","F","F","F","F",0,"F","F","F","F"
31,36.000000,0,0.000000,0,0,31,33,1,23656,0,6,10,"F","S",0,14,39,45,49921.000000,13,"F","F","F","F","T",100,"F","F","F","F"
45,0.000000,0,0.000000,0,0,45,-4,1,23869,0,3,11,"M","U",16,8,20,70,30251.000000,31,"F","F","F","F","F",100,"F","F","F","F"
55,12.000000,0,0.000000,0,0,55,7,0,23951,0,3,9,"M","S",28,13,26,59,54213.000000,35,"T","F","F","F","F",0,"F","F","F","T"
38,36.000000,3,8.770657,104,2,38,28,4,23821,0,4,0,"M","S",11,18,29,52,41531.000000,8,"F","F","F","F","F",490,"F","T","F","T"
37,36.000000,0,0.000000,0,0,37,25,1,23907,0,3,9,"F","U",9,11,31,56,52239.000000,1,"F","F","F","F","T",100,"F","F","F","F"
30,24.000000,0,0.000000,0,0,30,17,0,23957,0,3,11,"M","S",0,4,30,64,40287.000000,1,"F","F","F","F","F",0,"F","F","T","F"
64,24.000000,0,0.000000,0,0,64,16,0,21740,0,4,0,"F","M",37,8,32,59,58903.000000,17,"F","F","F","T","F",0,"F","F","F","F"
20,0.000000,0,0.000000,0,0,20,-5,0,21843,0,2,6,"F","S",0,7,27,64,37502.000000,36,"F","F","F","F","F",0,"F","F","F","F"
44,48.000000,0,0.000000,0,0,44,38,0,16039,0,2,8,"F","U",11,13,33,52,46755.000000,29,"F","F","T","F","F",0,"F","F","F","F"
36,36.000000,3,11.414667,348,2,36,24,5,16098,0,6,7,"F","S",6,14,40,45,53933.000000,26,"F","F","T","F","F",590,"F","F","F","F"
47,48.000000,7,12.238333,705,5,47,39,0,16255,0,2,1,"M","U",17,6,30,62,58487.000000,4,"F","F","F","F","F",210,"F","F","F","F"
45,12.000000,4,12.479000,279,1,45,10,0,16262,0,2,11,"M","U",13,12,11,75,53734.000000,15,"F","F","F","F","T",120,"F","F","T","F"
19,24.000000,0,0.000000,0,0,19,17,0,16598,0,6,10,"M","S",0,15,31,52,42752.000000,25,"F","F","F","F","T",0,"F","F","F","F"
70,12.000000,2,9.082333,349,1,70,8,0,16632,0,4,8,"M","M",38,9,39,51,37327.000000,7,"F","F","F","F","T",60,"F","F","F","F"
40,36.000000,0,0.000000,0,0,40,31,2,16689,0,1,11,"M","U",8,18,36,44,56246.000000,21,"F","F","F","T","T",200,"F","T","F","F"
20,24.000000,32,30.470917,405,23,20,11,0,16798,0,4,11,"M","S",0,4,30,64,40287.000000,29,"F","F","F","T","F",960,"F","T","T","F"
39,12.000000,0,0.000000,0,0,39,9,0,17284,0,6,10,"M","S",5,7,39,52,55425.000000,51,"F","F","F","F","F",0,"F","F","F","F"
46,48.000000,3,10.822323,189,2,46,39,2,17309,0,3,11,"F","M",14,10,25,64,47433.000000,27,"F","F","F","F","F",290,"F","F","F","F"
49,48.000000,3,11.681333,348,2,49,39,0,17393,0,4,0,"M","S",18,9,39,51,36431.000000,38,"F","F","F","F","F",90,"F","T","T","F"
22,12.000000,4,11.048940,349,3,22,10,0,17707,0,5,0,"F","S",0,7,33,58,65263.000000,10,"F","F","F","F","T",120,"F","T","F","F"
35,36.000000,2,8.749000,249,1,35,33,1,17718,0,5,10,"M","M",4,5,25,69,38838.000000,2,"T","F","F","F","F",160,"F","F","F","F"
43,0.000000,0,0.000000,0,0,43,-1,1,17927,0,1,10,"F","U",15,15,28,55,54742.000000,44,"F","F","F","F","F",100,"F","F","F","F"
16,0.000000,0,0.000000,0,0,16,-2,1,17950,0,3,11,"F","S",0,6,25,67,39207.000000,44,"F","F","F","F","F",100,"F","T","F","F"
45,36.000000,0,0.000000,0,0,45,34,0,21974,0,1,9,"F","S",17,8,24,66,43689.000000,3,"F","F","F","F","F",0,"F","F","F","F"
51,36.000000,3,10.090667,124,1,51,29,0,22025,0,6,10,"M","S",25,13,31,54,23751.000000,6,"F","F","T","F","F",90,"F","F","F","F"
30,36.000000,3,9.629000,29,1,30,33,5,24055,0,1,9,"F","S",0,6,38,54,30983.000000,50,"F","T","T","T","F",590,"F","T","F","F"
54,12.000000,0,0.000000,0,0,54,9,2,27433,0,4,11,"M","M",24,4,36,58,50062.000000,13,"F","F","F","F","F",200,"F","F","F","F"
17,0.000000,0,0.000000,0,0,17,-1,4,27698,0,4,9,"M","S",0,15,34,50,26710.000000,20,"T","F","F","F","F",400,"F","F","F","F"
39,36.000000,0,0.000000,0,0,39,27,1,27711,0,4,10,"F","U",9,11,31,56,52239.000000,50,"F","F","F","F","F",100,"F","F","F","F"
50,48.000000,35,22.962202,429,16,50,36,3,27779,0,6,8,"F","U",18,16,30,52,63582.000000,17,"F","F","F","F","F",1350,"F","F","F","F"
26,24.000000,18,26.357967,592,18,26,16,1,27605,0,3,11,"M","S",0,10,23,66,31972.000000,45,"F","F","F","F","F",640,"F","T","F","F"
17,36.000000,0,0.000000,0,0,17,29,1,27707,0,1,8,"F","S",0,10,36,52,43935.000000,20,"F","F","F","F","F",100,"F","F","F","F"
27,24.000000,0,0.000000,0,0,27,14,2,27792,0,1,9,"F","S",0,8,33,58,58465.000000,42,"F","T","F","F","F",200,"F","F","F","F"
35,0.000000,1,0.000000,0,0,35,-2,0,27884,0,4,0,"F","U",4,9,33,57,44525.000000,19,"F","F","F","F","F",30,"F","F","F","F"
44,36.000000,0,0.000000,0,0,44,32,3,27843,0,1,0,"F","U",17,7,26,66,35836.000000,42,"T","F","F","F","F",300,"F","F","F","F"
40,24.000000,0,0.000000,0,0,40,15,2,27861,0,2,11,"F","M",10,8,44,47,48069.000000,19,"F","F","F","F","F",200,"T","F","F","F"
59,36.000000,0,0.000000,0,0,59,24,1,28040,0,3,0,"F","U",28,11,32,56,32436.000000,12,"T","F","F","F","F",100,"F","F","F","F"
44,36.000000,0,0.000000,0,0,44,28,2,28149,0,1,11,"F","M",15,10,43,45,55197.000000,18,"F","F","F","F","F",200,"F","F","F","F"
37,24.000000,3,11.832333,199,1,37,11,0,28088,0,4,11,"M","M",8,11,36,51,31179.000000,6,"T","F","F","F","F",90,"F","F","F","F"
41,36.000000,25,12.763293,430,6,41,30,1,28179,0,6,10,"M","M",13,9,38,51,38650.000000,8,"T","F","F","F","F",850,"F","F","F","F"
26,0.000000,0,0.000000,0,0,26,-6,1,28181,0,6,0,"M","S",0,10,23,66,31972.000000,1,"F","F","F","F","F",100,"F","F","F","T"
44,0.000000,0,0.000000,0,0,44,-3,1,28074,0,1,0,"M","S",12,10,36,53,72513.000000,25,"T","F","F","F","T",100,"F","F","F","F"
19,36.000000,23,30.116800,517,23,19,34,1,28257,0,4,10,"M","S",0,21,35,43,50285.000000,13,"F","F","F","F","F",790,"F","F","T","F"
57,36.000000,3,12.464980,65,2,57,31,3,28429,0,6,3,"M","M",25,8,17,73,62320.000000,22,"T","T","F","F","F",390,"F","F","F","F"
28,48.000000,0,0.000000,0,0,28,37,0,28417,0,3,10,"F","S",0,7,27,64,37502.000000,46,"T","F","F","F","F",0,"F","F","F","F"
42,48.000000,0,0.000000,0,0,42,38,2,28574,0,6,11,"F","M",10,8,44,47,48069.000000,3,"F","F","F","F","T",200,"F","F","F","F"
44,0.000000,0,0.000000,0,0,44,-4,0,28601,0,6,11,"M","M",10,5,26,67,34916.000000,12,"T","F","F","T","F",0,"F","F","T","F"
38,12.000000,0,0.000000,0,0,38,9,1,28702,0,2,0,"F","U",10,11,40,47,57860.000000,48,"T","F","T","T","F",100,"F","F","F","F"
67,0.000000,0,0.000000,0,0,67,-6,1,28644,0,5,5,"M","U",35,7,27,65,44673.000000,16,"F","F","F","T","F",100,"F","F","F","F"
60,24.000000,0,0.000000,0,0,60,16,0,28820,0,6,11,"F","S",29,12,48,38,45982.000000,51,"F","T","F","F","F",0,"F","F","F","F"
61,24.000000,0,0.000000,0,0,61,19,1,28835,0,2,5,"M","S",33,9,34,55,46907.000000,5,"T","F","F","F","F",100,"F","F","F","F"
43,12.000000,0,0.000000,0,0,43,5,3,28903,0,6,10,"F","M",18,10,33,55,48807.000000,20,"F","F","F","T","F",300,"F","F","F","F"
29,36.000000,4,11.257313,124,2,29,27,3,29222,0,6,8,"F","S",0,10,51,37,47751.000000,11,"F","F","F","F","F",420,"F","T","F","F"
26,12.000000,0,0.000000,0,0,26,10,3,29109,0,4,1,"F","S",0,10,28,60,56069.000000,2,"F","T","F","F","F",300,"F","F","F","F"
38,0.000000,0,0.000000,0,0,38,-4,0,29120,0,5,8,"M","M",11,11,45,43,45924.000000,23,"F","F","F","F","F",0,"F","F","F","F"
53,36.000000,6,11.244657,278,3,53,26,1,29411,0,6,8,"M","U",20,11,10,78,43751.000000,1,"T","F","F","F","F",280,"F","F","F","F"
38,36.000000,0,0.000000,0,0,38,23,0,7708,0,3,11,"M","S",13,14,19,66,59681.000000,20,"T","T","F","F","F",0,"F","F","F","F"
41,48.000000,0,0.000000,0,0,41,40,1,7842,0,5,8,"M","M",16,5,49,45,49260.000000,35,"F","T","F","F","F",100,"F","T","F","F"
19,24.000000,2,10.655323,122,2,19,21,1,8142,0,6,10,"M","S",0,13,47,38,50205.000000,10,"T","F","F","F","F",160,"F","F","F","F"
44,36.000000,3,8.086657,120,1,44,25,0,8433,0,6,10,"F","M",15,11,23,64,66704.000000,18,"F","F","F","F","F",90,"F","F","F","F"
41,12.000000,6,10.858980,59,3,41,5,3,8485,0,6,10,"M","M",11,8,35,55,53548.000000,5,"T","F","F","F","F",480,"F","F","F","F"
39,24.000000,0,0.000000,0,0,39,19,0,8490,0,5,0,"M","S",12,13,21,64,38433.000000,30,"F","F","F","T","F",0,"F","F","F","F"
39,36.000000,3,9.812333,179,1,39,28,3,8692,0,6,0,"F","M",8,17,39,43,38539.000000,24,"F","F","F","F","F",390,"F","F","F","F"
41,24.000000,0,0.000000,0,0,41,14,1,8883,0,3,11,"F","U",10,11,40,47,57860.000000,1,"F","F","F","F","F",100,"F","F","T","F"
39,36.000000,0,0.000000,0,0,39,23,1,9126,0,6,0,"F","U",9,11,31,56,52239.000000,23,"T","F","F","T","F",100,"F","T","F","F"
31,36.000000,0,0.000000,0,0,31,32,1,9221,0,2,9,"F","S",0,10,36,52,43935.000000,51,"F","F","F","F","F",100,"F","F","F","F"
21,12.000000,1,9.882333,249,1,21,8,0,9335,0,5,0,"F","S",0,7,27,64,37502.000000,44,"T","F","T","F","F",30,"F","F","F","F"
43,48.000000,0,0.000000,0,0,43,39,1,12720,0,4,8,"M","M",12,14,37,48,64281.000000,22,"F","T","F","F","F",100,"F","T","F","F"
40,24.000000,2,7.465667,299,1,40,12,1,29188,0,2,8,"F","M",12,9,29,61,62091.000000,9,"F","F","F","F","F",160,"F","F","F","F"
35,36.000000,0,0.000000,0,0,35,28,1,29272,0,5,0,"M","M",7,6,31,61,79287.000000,21,"F","F","F","F","F",100,"F","F","F","F"
69,24.000000,0,0.000000,0,0,69,23,5,32837,0,7,11,"M","M",40,8,29,62,46210.000000,21,"T","F","F","F","F",500,"F","F","F","F"
35,36.000000,3,12.524667,158,2,35,27,2,33038,0,3,10,"F","M",6,15,31,53,45384.000000,30,"F","F","F","F","F",290,"F","F","F","F"
53,48.000000,0,0.000000,0,0,53,37,1,33120,0,3,9,"F","S",20,17,31,51,54231.000000,32,"F","T","F","F","F",100,"F","F","F","F"
32,24.000000,0,0.000000,0,0,32,19,0,33146,0,6,10,"F","U",4,9,33,57,44525.000000,48,"F","F","F","F","F",0,"F","F","F","F"
36,36.000000,0,0.000000,0,0,36,29,1,33141,0,4,10,"M","M",8,12,48,38,57366.000000,43,"F","F","F","F","F",100,"F","F","F","F"
39,36.000000,0,0.000000,0,0,39,34,0,33273,0,2,10,"M","U",10,16,34,48,41701.000000,11,"F","T","T","F","F",0,"F","F","F","F"
62,36.000000,0,0.000000,0,0,62,31,0,33332,0,6,10,"M","S",32,9,38,51,37914.000000,9,"F","F","F","F","T",0,"F","F","F","F"
48,0.000000,0,0.000000,0,0,48,-4,1,33252,0,7,9,"M","M",20,11,27,61,59921.000000,18,"F","F","F","F","F",100,"F","F","F","T"
60,48.000000,3,12.247990,248,3,60,36,6,33591,0,6,9,"M","M",32,6,34,59,35773.000000,22,"T","F","F","F","F",690,"F","F","F","F"
36,36.000000,0,0.000000,0,0,36,30,1,33715,0,4,11,"M","U",8,13,35,50,62888.000000,33,"F","F","F","F","F",100,"F","F","T","F"
32,12.000000,3,12.711333,278,2,32,9,1,33816,0,2,10,"F","S",0,14,39,45,49921.000000,11,"F","T","F","F","F",190,"F","F","F","F"
41,36.000000,1,8.612333,279,1,41,32,4,34034,0,5,9,"M","M",8,9,35,54,41975.000000,33,"F","F","T","F","F",430,"F","F","F","F"
36,48.000000,0,0.000000,0,0,36,40,0,34098,0,6,8,"M","U",5,12,25,61,38814.000000,28,"F","F","F","T","F",0,"F","F","T","T"
41,24.000000,0,0.000000,0,0,41,14,1,34125,0,3,11,"F","U",12,11,33,54,38183.000000,25,"F","F","F","F","F",100,"F","F","F","T"
48,0.000000,2,0.000000,0,0,48,-5,1,34135,0,4,8,"M","U",16,8,20,70,30251.000000,7,"F","F","F","T","T",160,"F","F","F","F"
19,24.000000,24,15.716920,617,6,19,23,0,34285,0,6,10,"F","S",0,7,27,64,37502.000000,42,"F","F","F","T","F",720,"F","F","F","F"
38,0.000000,1,0.000000,0,0,38,-2,0,34316,0,2,0,"F","U",8,16,29,54,65364.000000,52,"F","F","F","F","F",30,"F","F","T","F"
50,24.000000,2,10.589000,189,1,50,13,0,34360,0,3,9,"F","M",23,9,32,57,54446.000000,40,"F","F","T","F","F",60,"F","T","F","F"
42,36.000000,5,11.302950,203,3,42,23,2,34511,0,6,10,"M","M",13,13,30,56,50721.000000,34,"T","F","F","F","F",350,"F","F","T","F"
44,48.000000,2,8.412333,179,1,44,38,7,34517,0,3,11,"F","S",16,10,50,38,40733.000000,33,"F","T","F","F","F",760,"F","F","F","F"
67,36.000000,0,0.000000,0,0,67,30,0,34361,0,7,10,"F","M",39,3,38,57,58607.000000,40,"T","F","F","F","F",0,"F","F","F","F"
63,36.000000,0,0.000000,0,0,63,28,0,34563,0,6,9,"F","U",33,11,14,73,52907.000000,48,"T","F","F","F","F",0,"F","F","F","F"
53,12.000000,0,0.000000,0,0,53,9,2,12870,0,4,9,"M","U",18,10,35,53,75546.000000,32,"T","F","F","F","F",200,"F","F","T","F"
38,24.000000,4,10.735657,169,2,38,18,3,13120,0,3,11,"M","S",13,9,23,67,42306.000000,17,"F","F","F","F","F",420,"F","F","F","F"
46,36.000000,3,10.243323,10,1,46,23,1,13190,0,5,11,"F","U",16,9,27,62,61352.000000,20,"T","F","F","F","F",190,"F","F","T","F"
27,48.000000,0,0.000000,0,0,27,36,1,13813,0,3,8,"F","S",0,11,18,69,43220.000000,25,"F","F","F","F","T",100,"F","F","T","T"
36,24.000000,4,10.432273,299,3,36,18,2,13867,0,3,11,"M","U",8,18,36,44,56246.000000,8,"F","F","F","F","F",320,"F","F","F","F"
24,24.000000,1,9.555667,89,1,24,18,1,34704,0,2,0,"M","S",0,14,32,53,49255.000000,1,"F","F","F","F","F",130,"F","F","F","F"
45,12.000000,0,0.000000,0,0,45,10,0,24110,0,4,10,"F","M",16,12,39,48,49264.000000,40,"F","F","F","F","F",0,"F","F","F","F"
43,24.000000,4,11.908323,75,2,43,20,1,24133,0,1,11,"F","U",16,9,27,62,61352.000000,14,"T","T","F","F","F",220,"F","T","F","F"
36,0.000000,1,0.000000,0,0,36,-5,0,22291,0,3,8,"F","U",8,16,29,54,65364.000000,36,"F","F","F","F","F",30,"F","F","F","F"
34,36.000000,0,0.000000,0,0,34,23,1,24317,0,1,11,"M","M",2,11,35,52,66303.000000,9,"F","F","F","F","F",100,"F","F","T","F"
39,0.000000,0,0.000000,0,0,39,-1,0,24469,0,6,8,"M","U",10,16,34,48,41701.000000,13,"F","F","F","F","F",0,"F","F","F","F"
50,12.000000,0,0.000000,0,0,50,8,0,24478,0,4,9,"F","S",15,16,36,47,51428.000000,7,"F","T","F","T","F",0,"F","F","T","F"
26,24.000000,0,0.000000,0,0,26,16,2,24474,0,1,9,"M","S",0,14,29,55,69766.000000,6,"T","F","F","F","F",200,"F","F","F","F"
56,0.000000,0,0.000000,0,0,56,-6,0,24505,0,4,10,"M","S",27,6,40,52,38212.000000,39,"F","F","F","F","F",0,"F","F","F","F"
48,12.000000,0,0.000000,0,0,48,-1,1,24556,0,4,10,"F","M",20,9,19,70,43542.000000,51,"T","F","F","F","F",100,"F","F","F","F"
44,24.000000,0,0.000000,0,0,44,17,2,24574,0,2,9,"M","S",14,17,24,57,44066.000000,22,"T","F","F","F","F",200,"F","F","F","F"
33,12.000000,7,14.661567,395,7,33,5,3,24673,0,4,11,"M","M",2,9,21,68,48788.000000,44,"F","F","T","T","F",510,"F","F","F","T"
33,36.000000,0,0.000000,0,0,33,27,3,24769,0,6,10,"M","M",4,11,37,51,74127.000000,1,"T","F","F","F","F",300,"F","F","F","F"
24,0.000000,0,0.000000,0,0,24,-1,0,24773,0,1,11,"F","S",0,7,33,58,65263.000000,21,"F","F","T","F","F",0,"F","F","F","F"
52,12.000000,0,0.000000,0,0,52,0,6,25169,0,6,8,"M","S",23,14,34,51,51342.000000,24,"F","F","F","F","F",600,"F","F","F","T"
28,0.000000,0,0.000000,0,0,28,-4,0,24957,0,3,8,"F","S",0,7,33,58,65263.000000,34,"F","F","F","F","F",0,"F","T","F","F"
39,24.000000,0,0.000000,0,0,39,23,0,25057,0,3,7,"M","S",10,14,34,51,56046.000000,34,"F","F","F","F","T",0,"F","F","F","F"
36,36.000000,0,0.000000,0,0,36,31,0,23210,0,1,0,"M","M",6,9,28,61,40295.000000,16,"F","F","T","F","F",0,"F","F","F","F"
33,36.000000,5,9.670617,104,2,33,32,0,25287,0,2,8,"M","U",5,12,25,61,38814.000000,19,"F","T","F","F","F",150,"F","F","F","F"
28,36.000000,0,0.000000,0,0,28,23,3,25414,0,3,0,"M","S",0,6,32,61,49211.000000,37,"F","F","F","F","F",300,"F","F","F","F"
28,36.000000,0,0.000000,0,0,28,35,0,25193,0,6,0,"M","S",0,15,31,52,42752.000000,51,"F","F","F","F","F",0,"F","F","F","F"
40,12.000000,2,8.985667,119,1,40,10,2,25208,0,1,9,"F","S",13,13,28,58,49825.000000,34,"F","F","F","F","F",260,"F","F","F","F"
40,36.000000,29,21.610350,211,15,40,29,2,25326,0,6,10,"F","S",11,13,28,57,32967.000000,28,"F","F","F","F","F",1070,"F","F","F","F"
22,48.000000,0,0.000000,0,0,22,37,1,23330,0,1,6,"F","S",0,6,25,67,39207.000000,50,"T","F","F","F","F",100,"F","T","F","F"
32,0.000000,0,0.000000,0,0,32,-4,0,23379,0,3,10,"M","S",3,20,40,39,21103.000000,50,"T","F","F","F","F",0,"F","F","F","F"
44,48.000000,0,0.000000,0,0,44,40,2,23445,0,3,11,"M","U",19,13,17,68,55731.000000,51,"F","F","F","F","F",200,"F","T","T","F"
51,48.000000,0,0.000000,0,0,51,40,0,23480,0,6,0,"M","M",20,8,48,43,42222.000000,11,"F","F","F","F","F",0,"F","F","F","F"
41,12.000000,0,0.000000,0,0,41,0,1,25448,0,2,6,"M","U",14,15,33,51,29682.000000,41,"F","F","F","F","F",100,"F","T","F","T"
37,36.000000,0,0.000000,0,0,37,28,2,25623,0,5,10,"F","U",7,14,29,55,67475.000000,44,"T","T","F","F","F",200,"F","F","T","F"
39,36.000000,2,11.199000,299,1,39,26,3,25392,0,5,9,"F","U",10,9,41,48,36169.000000,14,"T","F","F","F","F",360,"F","F","F","F"
21,24.000000,3,12.211480,112,3,21,19,0,25408,0,1,11,"M","S",0,18,18,63,52174.000000,42,"F","F","F","F","F",90,"T","F","F","T"
37,12.000000,0,0.000000,0,0,37,7,1,25542,0,6,11,"F","S",8,10,28,61,31855.000000,32,"T","F","F","F","F",100,"F","T","F","F"
48,24.000000,0,0.000000,0,0,48,13,0,25810,0,4,8,"M","S",23,11,29,58,25785.000000,25,"F","F","F","F","F",0,"F","F","F","F"
61,36.000000,0,0.000000,0,0,61,25,1,23829,0,5,9,"M","M",28,12,45,42,61366.000000,13,"F","F","F","F","F",100,"F","F","F","F"
28,24.000000,2,12.346647,80,2,28,17,1,25898,0,4,9,"F","S",0,10,36,52,43935.000000,24,"T","F","F","F","F",160,"F","F","F","F"
50,0.000000,1,0.000000,0,0,50,-4,0,2117,0,2,10,"F","S",21,9,36,54,45621.000000,35,"F","T","F","F","F",30,"F","F","F","F"
73,24.000000,0,0.000000,0,0,73,14,0,2158,0,4,0,"F","U",45,7,51,40,63480.000000,39,"F","F","F","F","F",0,"F","T","F","F"
34,48.000000,0,0.000000,0,0,34,36,2,2408,0,1,9,"F","M",6,15,31,53,45384.000000,20,"F","F","F","F","F",200,"F","T","F","F"
50,48.000000,1,12.932333,499,1,50,36,1,2442,0,2,11,"F","S",24,16,28,55,27679.000000,14,"F","F","T","F","T",130,"F","F","F","F"
31,36.000000,4,9.465667,799,1,31,30,4,2583,0,1,0,"M","M",3,18,44,37,57102.000000,24,"T","F","T","F","F",520,"F","F","T","F"
26,24.000000,3,8.489667,223,2,26,15,3,2624,0,5,0,"M","S",0,15,65,19,45799.000000,6,"F","F","F","F","F",390,"F","F","F","F"
43,0.000000,0,0.000000,0,0,43,-3,0,2667,0,2,11,"F","M",14,10,26,62,34919.000000,10,"F","F","T","F","F",0,"F","F","F","F"
28,36.000000,2,10.399000,299,1,28,23,0,2728,0,5,9,"M","S",0,15,31,52,42752.000000,16,"F","F","F","F","F",60,"F","F","F","F"
39,24.000000,3,10.171657,105,2,39,13,1,3144,0,6,9,"M","S",10,10,27,61,59742.000000,13,"F","F","T","F","F",190,"F","F","F","F"
51,36.000000,0,0.000000,0,0,51,29,0,3344,0,3,8,"F","U",21,7,30,61,50814.000000,32,"T","F","F","F","F",0,"F","F","T","F"
29,0.000000,0,0.000000,0,0,29,-1,0,3587,0,2,0,"F","S",0,7,43,49,67905.000000,18,"F","F","F","F","F",0,"F","F","F","F"
36,24.000000,0,0.000000,0,0,36,17,4,3669,0,1,11,"F","S",7,10,38,51,50073.000000,30,"F","F","F","F","F",400,"F","F","F","F"
42,36.000000,0,0.000000,0,0,42,34,1,3696,0,2,10,"M","M",14,7,32,59,48415.000000,2,"F","F","F","T","F",100,"F","F","T","F"
41,0.000000,0,0.000000,0,0,41,-4,0,3898,0,2,8,"M","U",10,16,34,48,41701.000000,28,"F","F","F","F","F",0,"F","F","F","F"
39,12.000000,0,0.000000,0,0,39,7,2,3923,0,6,7,"M","M",9,7,23,68,57561.000000,26,"T","F","T","F","F",200,"F","F","F","F"
73,24.000000,3,10.997323,164,2,73,15,0,4003,0,5,10,"M","S",41,11,29,58,57061.000000,4,"F","F","F","F","F",90,"F","F","F","F"
54,48.000000,4,8.559000,559,1,54,36,0,9430,0,2,9,"F","S",25,6,35,58,57290.000000,27,"F","F","F","F","F",120,"F","F","F","F"
63,36.000000,2,8.336657,70,1,63,28,0,24014,0,2,9,"F","U",36,5,37,56,57036.000000,9,"F","F","F","F","F",60,"F","F","F","F"
57,36.000000,2,9.094667,228,2,57,35,0,24096,0,7,9,"F","S",26,9,31,59,57852.000000,31,"F","F","F","T","F",60,"F","F","F","F"
63,12.000000,0,0.000000,0,0,63,9,0,29431,0,2,0,"F","S",33,12,42,44,68484.000000,1,"F","F","F","F","F",0,"F","F","F","F"
42,24.000000,4,10.326333,293,2,42,19,1,29433,0,2,5,"M","S",12,10,36,53,72513.000000,7,"F","F","T","T","F",220,"F","T","F","F"
49,0.000000,0,0.000000,0,0,49,-4,0,29881,0,2,10,"F","U",22,13,17,68,62306.000000,38,"F","F","F","F","F",0,"F","F","F","F"
45,0.000000,0,0.000000,0,0,45,-1,0,29837,0,1,11,"F","S",15,16,36,47,51428.000000,4,"F","F","F","F","F",0,"F","F","F","F"
30,36.000000,0,0.000000,0,0,30,29,1,29971,0,3,0,"F","S",0,14,39,45,49921.000000,37,"F","F","F","F","F",100,"F","F","F","F"
71,0.000000,0,0.000000,0,0,71,-4,1,29858,0,3,11,"M","M",44,14,20,64,44864.000000,26,"F","F","F","F","F",100,"F","T","F","T"
46,36.000000,4,9.627313,94,3,46,27,1,30103,0,5,8,"F","S",17,9,29,61,51442.000000,3,"F","F","F","F","T",220,"F","T","F","F"
51,48.000000,3,13.655657,89,2,51,36,0,30210,0,3,9,"F","S",17,8,24,66,43689.000000,8,"F","F","F","F","F",90,"F","F","F","F"
25,36.000000,0,0.000000,0,0,25,30,7,30174,0,6,8,"F","S",0,9,41,48,45731.000000,5,"F","F","F","F","F",700,"F","F","F","F"
50,12.000000,27,19.356400,257,12,50,9,0,30207,0,7,10,"F","S",22,9,32,58,48859.000000,41,"F","F","F","F","T",810,"F","F","F","F"
27,0.000000,1,0.000000,0,0,27,-2,0,30599,0,1,7,"M","S",0,4,30,64,40287.000000,4,"F","F","F","F","F",30,"F","T","F","T"
71,36.000000,0,0.000000,0,0,71,31,0,30440,0,3,8,"M","S",39,18,30,51,54072.000000,35,"T","F","F","F","F",0,"F","F","F","F"
35,24.000000,5,8.993990,194,2,35,14,6,30523,0,2,11,"M","U",3,12,38,49,60717.000000,10,"F","F","F","F","F",750,"F","F","F","F"
33,0.000000,0,0.000000,0,0,33,-3,0,30501,0,3,9,"M","U",3,9,43,46,58861.000000,24,"F","F","F","F","F",0,"F","F","F","F"
72,24.000000,4,9.997273,164,3,72,14,5,30512,0,7,9,"M","U",43,6,29,63,50165.000000,20,"F","F","F","F","F",620,"F","F","F","F"
40,36.000000,0,0.000000,0,0,40,35,3,30653,0,6,7,"F","U",15,7,27,64,56348.000000,23,"F","F","F","F","F",300,"F","F","F","F"
30,24.000000,0,0.000000,0,0,30,17,0,30799,0,4,9,"M","S",0,15,31,52,42752.000000,7,"F","F","F","F","F",0,"F","F","F","F"
38,24.000000,0,0.000000,0,0,38,15,1,30815,0,5,11,"M","M",11,15,39,44,44206.000000,11,"F","T","F","F","F",100,"F","F","F","F"
25,48.000000,0,0.000000,0,0,25,41,0,30931,0,3,10,"F","S",0,7,33,58,65263.000000,15,"F","F","F","F","F",0,"T","F","F","F"
41,0.000000,0,0.000000,0,0,41,-5,0,30741,0,6,0,"F","S",7,4,36,58,55328.000000,43,"F","F","F","F","F",0,"F","F","F","F"
42,24.000000,0,0.000000,0,0,42,15,1,30878,0,2,11,"F","S",16,9,35,54,50613.000000,37,"T","F","F","F","F",100,"F","F","F","T"
45,36.000000,0,0.000000,0,0,45,34,1,31015,0,3,11,"M","S",14,6,17,75,52862.000000,47,"F","F","F","F","F",100,"F","F","T","F"
